trialID,Participant,isPractice,LayoutBlockNum,ConditionBlockNum,TrialNum,LayoutType,Condition,TargetType,PairCount,SelfRotation,RotateDirection,DecoyAmount,CurrentDecoy,RotationAmount,Baseline,Testing,DecoyBaseline,DecoyTesting,BeginTime,EndTime,ResponsePos_X,ResponsePos_Y,ResponsePos_Z,AnsPos_X,AnsPos_Y,AnsPos_Z,TargetName,ControllerPos_X,ControllerPos_Y,ControllerPoss_Z
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,0,none,-1,2,0,0,True,False,False,False,12.003270,14.087040,0.161746,0.000000,1.809709,0.076902,0.000000,1.735412,Blue Physical Target,0.027771,1.037452,0.308581
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,1,none,-1,2,0,0,True,False,False,False,14.087040,15.614230,-0.936732,0.000000,1.679810,-0.918072,0.000000,1.624299,Green Physical Target,-0.126607,1.071975,0.248980
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,0,none,-1,2,0,0,False,False,True,False,32.640090,34.239090,1.019219,0.000000,1.813299,0.800136,0.000000,1.503241,Stripes Decoy Target,0.166447,1.030416,0.322471
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,1,none,-1,2,0,0,False,False,True,False,34.239090,35.339420,0.739420,0.000000,3.123666,0.750904,0.000000,3.400385,Dotted Decoy Target,0.089559,1.093683,0.366399
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,0,none,-1,2,0,0,False,False,False,True,40.350040,43.582140,1.075197,0.000000,3.211518,0.750904,0.000000,3.400385,Dotted Decoy Target,0.130393,1.007362,0.342193
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,1,none,-1,2,0,0,False,False,False,True,43.582140,44.736710,0.999248,0.000000,2.045603,0.800136,0.000000,1.503241,Stripes Decoy Target,0.167232,0.962523,0.276247
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,0,none,-1,2,1,0,False,False,True,False,61.762400,63.137010,0.101515,0.000000,1.347376,-0.044598,0.000000,1.456365,Dotted Decoy Target,0.062090,0.842558,0.209763
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,1,none,-1,2,1,0,False,False,True,False,63.137010,64.516670,0.934504,0.000000,2.832308,0.949791,0.000000,2.689670,Stripes Decoy Target,0.159360,0.939451,0.331900
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,0,none,-1,2,1,0,False,False,False,True,69.529620,71.853650,0.927933,0.000000,2.409292,0.949791,0.000000,2.689670,Stripes Decoy Target,0.189357,0.928456,0.335745
P1002,0,True,0,0,0,C,physicalStatic,physicalTarget,1,none,-1,2,1,0,False,False,False,True,71.853650,73.069350,0.217927,0.000000,1.215825,-0.044598,0.000000,1.456365,Dotted Decoy Target,0.098740,0.842178,0.235769
